id,no_farmacia,ds_endereco_farmacia,no_cidade,uf
0,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA PINHEIRO MACHADO, 2440",SANTA MARIA,RS
1,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"AV JUCA BATISTA, 925, LOJA 01",PORTO ALEGRE,RS
2,PEDRO PAULO SCHEFFER,"RUA OSVALDO BASTOS, Nº 1330",TERRA DE AREIA,RS
3,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA DAS COMUNIDADES, 110 - Sala 01",GASPAR,SC
4,MARLY AGRIPINA GONCALVES VIEIRA CUNHA - ME,Rua RITA BENEDITA 218 CENTRO,ITANHOMI,MG
5,DROGARIA E FARMÁCIA CATARINENSE S/A,AVENIDA GETÚLIO VARGAS  Nº 259 - SALA 02,ARARANGUA,SC
6,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA MAL  DEODORO N° 17,BENTO GONCALVES,RS
7,FARMÁCIA FAZENDA LTDA - EPP,"RUA BENJAMIN GERLACH, 920",SAO JOSE,SC
8,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE, 1741",NOVA ANDRADINA,MS
9,CIA LATINO AMERICANA DE MEDICAMENTOS,"Praça Nereu Ramos, 23, Sala 01",BIGUACU,SC
10,MARIA ISABEL QUEIROZ FARIAS E CIA LTDA,"AVENIDA ANTONIO CARLOS MAGALHAE, Nº 1336",NOVA VICOSA,BA
11,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AV. PLINIO BRASIL MILANO Nº1000,PORTO ALEGRE,RS
12,RENATO LUIZ CASSOL E CIA LTDA - ME,AV 15 DE NOVEMBRO 1584 SALA 01,TAPERA,RS
13,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AV. CRISTOVÃO COLOMBO N° 1271 LOJA 101,PORTO ALEGRE,RS
14,FARMACIA DO ROQUE LTDA,"RUA FARROUPILHA, 370",SAO MIGUEL DO IGUACU,PR
15,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV BRASIL 500,PASSO FUNDO,RS
16,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"AV MAURO RAMOS, 2010",FLORIANOPOLIS,SC
17,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,"RUA BARAO DE JAGUARA, 1073",CAMPINAS,SP
18,DROGARIA EXTRATUS LTDA.-ME,"R GUILHERME, 597, SALA 01",JOINVILLE,SC
19,DROGARIA DO CAMPINHO LTDA,"JOSE GODINHO, 143, B",CATAGUASES,MG
20,FARMACIA E DROGARIA NISSEI LTDA,"DOS EUCALIPTOS, 41",COLOMBO,PR
21,FARMACIA DOS ESTADOS LTDA ME,"RUA MAL FLORIANO PEIXOTO, 456, SALA 03",INDAIAL,SC
