gid,co_cep,uf,cidade,no_fantasia,no_bairro,nu_endereco,no_logradouro,nu_telefone,ano_upa_func,mes_upa_func,fonte_recurso,porte,latitude,longitude
6834477,,GO,Rio Verde,UPA DR JOSE POVOA MENDES,JARDIM GOIAS,1900,RUA AUGUSTA BASTOS,6436202040,2015,11,MS,1,-17.787653,-50.9187787
7458606,,AM,Manaus,UPA CAMPOS SALLES,TARUMA,649,RUA DONA OTILIA,9232499050,2015,11,MS,3,-3.0078867,-60.0606392
2589648,74975-385,GO,Aparecida de Goiânia,UNIDADE DE PRONTO ATENDIMENTO UPA,RESIDENCIAL BRASICON,S/N,RUA DAS ACASIA,3545 9953,2015,11,MS,3,-16.8357895,-49.2495495
6922333,43815-360,BA,Candeias,UNIDADE DE PRONTO ATENDIMENTO,OURO NEGRO,01,RUA DOS TRES PODERES,,2015,11,MS,1,-12.6720125,-38.5475041
2164175,,MG,Santa Luzia,UNIDADE DE PRONTO ATENDIMENTO DE SAO BENEDITO,SAO BENEDITO,1052,RUA SENHOR DO BONFIM,(31)36371992,2015,11,MS,2,-19.7841378,-43.9253921
6995160,40411-900,BA,Salvador,UPA DE ROMA,ROMA,1153,R BARAO DE COTEGIPE,(71) 3316-8600,2015,11,MS,3,-12.9459957,-38.5013277
2061767,,SP,Piracicaba,UPA VILA SONIA NESTOR LONGATTO PIRACICABA,VILA SONIA,106,RUA BRIGADEIRO EDUARDO GOMES,(19) 3425-3284,2015,11,MS,2,-22.6709523,-47.6932734
7206445,14150-000,SP,Serrana,UPA DR GERALDO C P REIS,JD ROMULO MONTANARI,235,GABRIEL JOSE DO VALE,(16) 3987-1513,2015,11,MS,1,-21.2076722,-47.6048899
6716938,22775-002,RJ,Rio de Janeiro,SMS COORD DE EMERGENCIA REGIONAL CER BARRA AP 40,BARRA DA TIJUCA,2000,AVENIDA AYRTON SENNA,35507060,2015,11,MS,3,-22.9938876,-43.3630091
7546696,,SP,Cubatão,UPA DR MARIO RUIVO DE CUBATAO,PQ SAO LUIZ,222,AV JOEL GONCALVES DE OLIVEIRA,13-3361.6388,2015,11,MS,1,-23.9246117,-46.4161678
7108648,17052-170,SP,Bauru,UPA IPIRANGA,VILA NIPONICA,11,RUA JOSE MIGUEL,3106-1121,2015,11,MS,1,-22.3370488,-49.0906299
23582,31515-000,MG,Belo Horizonte,UNIDADE DE PRONTO ATENDIMENTO VENDA NOVA,VENDA NOVA,322,RUA PADRE PEDRO PINTO,(31)32775438,2015,11,MS,3,-19.8186038,-43.9534329
7494068,,SP,Itaquaquecetuba,UPA SADAKO SEDOGUTI,RESIDENCIAL FLAMBOYA,453,RUA DOS CAJUEIROS,(11)4647-0212,2015,11,MS,2,-23.4849456,-46.3494828
23051,,MG,Belo Horizonte,UNIDADE DE PRONTO ATENDIMENTO NORDESTE,CONCORDIA,535,RUA ITAMARACA,(31)32776646,2015,11,MS,2,-19.9030559,-43.9335729
5955637,23590-060,RJ,Rio de Janeiro,SES RJ UPA 24H SANTA CRUZ,STA CRUZ,13655,AV CESARIO DE MELO,33139218,2015,11,MS,3,-22.9332957,-43.6612018
7103255,,CE,Eusébio,UNIDADE DE PRONTO ATENDIMENTO DE EUSEBIO,CENTRO,395,RUA IRMA AMBROSINA,32605303,2015,11,MS,2,-3.8938752,-38.449701
6631819,,PE,Caruaru,UPA CARUARU,INDIANOPOLIS,S/N,AVENIDA JOSE MARQUES FONTES,08737277814,2015,11,MS,3,-8.3007399,-35.9605188
7003692,28927-000,RJ,Cabo Frio,UNIDADE DE PRONTO ATENDIMENTO UPA II,SAMBURA,136,AV AMARAL PEIXOTO KM 136,22 26461736,2015,11,MS,2,-22.677562,-42.0068151
6411169,,SC,Biguaçu,UNIDADE DE PRONTO ATENDIMENTO UPA 24HS,FUNDOS,S/N,RUA QUINTINO BOCAIUVA,48-30398460,2015,11,MS,1,-27.5059361,-48.6560379
